# Groundwater resource supply curves for all basins - 25% extraction scenario
# Based on global hydrogeological maps and cost extraction model
# Source: Yonkofski et al. (in review) Cost and accessibility of global non-renewable groundwater resources
# Units: price in 1975USD; available in km3
basin.id,price,available,grade
20,0.132,3.493025605,grade7
20,0.154,0.08631296200000001,grade8
20,0.176,1.099294784,grade9
20,0.198,0,grade10
20,0.22,54.485231183,grade11
20,0.44,50.871387208,grade12
20,0.66,0,grade13
20,0.88,0,grade14
20,1.1,0,grade15
20,1.32,0,grade16
20,1.54,0,grade17
20,1.76,0,grade18
20,1.98,0,grade19
20,2.2,0,grade20
20,4.4,0,grade21
20,6.6,0,grade22
20,8.8,0,grade23
20,20.9,0,grade24
21,0.002,47.263375043,grade1
21,0.022,266.460059763,grade2
21,0.044,64.46742852300001,grade3
21,0.066,16.297357069,grade4
21,0.088,1.980744555,grade5
21,0.11,0,grade6
21,0.132,0,grade7
21,0.154,0,grade8
21,0.176,0,grade9
21,0.198,0,grade10
21,0.22,0,grade11
21,0.44,0,grade12
21,0.66,0,grade13
21,0.88,0,grade14
21,1.1,0,grade15
21,1.32,0,grade16
21,1.54,0,grade17
21,1.76,0,grade18
21,1.98,0,grade19
21,2.2,0,grade20
21,4.4,0,grade21
21,6.6,0,grade22
21,8.8,0,grade23
21,20.9,0,grade24
22,0.002,27.912583895,grade1
22,0.022,69.075056731,grade2
22,0.044,58.854933271,grade3
22,0.066,9.9491412360000009,grade4
22,0.088,31.570384722000004,grade5
22,0.11,0,grade6
22,0.132,0,grade7
22,0.154,0,grade8
22,0.176,3.965423909,grade9
22,0.198,0,grade10
22,0.22,71.487171582,grade11
22,0.44,82.192321515,grade12
22,0.66,0,grade13
22,0.88,0,grade14
22,1.1,0,grade15
22,1.32,0,grade16
22,1.54,0,grade17
22,1.76,0,grade18
22,1.98,0,grade19
22,2.2,0,grade20
22,4.4,0,grade21
22,6.6,0,grade22
22,8.8,0,grade23
22,20.9,0,grade24
23,0.002,67.497011677,grade1
23,0.022,947.9969407320001,grade2
23,0.044,260.19973839600004,grade3
23,0.066,123.764730911,grade4
23,0.088,43.274495277,grade5
23,0.11,36.959714518000006,grade6
23,0.132,20.909886588000003,grade7
23,0.154,17.744866659,grade8
23,0.176,57.82006693100001,grade9
23,0.198,60.71215707300001,grade10
23,0.22,202.26615264400002,grade11
23,0.44,197.183013495,grade12
23,0.66,228.439584658,grade13
23,0.88,159.725898072,grade14
23,1.1,97.04809464200001,grade15
23,1.32,49.383256102000004,grade16
23,1.54,78.778703195,grade17
23,1.76,51.526858877,grade18
23,1.98,35.781339528000004,grade19
23,2.2,364.48036544300004,grade20
23,4.4,179.314633342,grade21
23,6.6,39.935860367000004,grade22
23,8.8,319.71107660800004,grade23
23,20.9,3.6960163870000002,grade24
24,0.002,0,grade1
24,0.022,11.903107645,grade2
24,0.044,59.87136094,grade3
24,0.066,83.955239542,grade4
24,0.088,43.27472419,grade5
24,0.11,28.047418638000003,grade6
24,0.132,18.505909017,grade7
24,0.154,4.813128068,grade8
24,0.176,0,grade9
24,0.198,4.04137504,grade10
24,0.22,8.445801157,grade11
24,0.44,0,grade12
